iter	Passed	Remaining
719	1667	648
720	1668	645
721	1669	642
722	1672	640
723	1674	638
724	1676	635
725	1677	633
726	1678	630
727	1680	627
728	1680	624
729	1682	622
730	1684	619
731	1686	617
732	1687	614
733	1688	611
734	1691	609
735	1692	607
736	1693	604
737	1694	601
738	1695	598
739	1696	596
740	1700	594
741	1701	591
742	1705	590
743	1707	587
744	1708	584
745	1708	581
746	1709	579
747	1712	577
748	1715	574
749	1716	572
750	1717	569
751	1721	567
752	1722	565
753	1723	562
754	1725	559
755	1728	557
756	1731	555
757	1732	553
758	1735	551
759	1736	548
760	1737	545
761	1739	543
762	1741	541
763	1743	538
764	1745	536
765	1746	533
766	1749	531
767	1751	529
768	1753	526
769	1754	523
770	1755	521
771	1756	518
772	1757	516
773	1758	513
774	1759	510
775	1761	508
776	1763	506
777	1765	503
778	1766	501
779	1767	498
780	1769	496
781	1771	493
782	1773	491
783	1774	488
784	1775	486
785	1775	483
786	1776	480
787	1780	478
788	1781	476
789	1782	473
790	1783	471
791	1784	468
792	1785	466
793	1788	464
794	1789	461
795	1791	459
796	1794	457
797	1796	454
798	1798	452
799	1802	450
800	1807	449
801	1811	447
802	1812	444
803	1815	442
804	1816	440
805	1818	437
806	1819	435
807	1820	432
808	1831	432
809	1835	430
810	1837	428
811	1841	426
812	1845	424
813	1847	422
814	1849	419
815	1851	417
816	1856	415
817	1857	413
818	1858	410
819	1860	408
820	1862	406
821	1864	403
822	1865	401
823	1866	398
824	1867	396
825	1870	393
826	1874	392
827	1877	390
828	1879	387
829	1882	385
830	1883	383
831	1884	380
832	1885	378
833	1886	375
834	1887	373
835	1888	370
836	1890	368
837	1892	365
838	1893	363
839	1894	360
840	1897	358
841	1899	356
842	1900	353
843	1900	351
844	1901	348
845	1903	346
846	1905	344
847	1907	341
848	1911	339
849	1913	337
850	1915	335
851	1916	332
852	1917	330
853	1918	328
854	1919	325
855	1920	323
856	1921	320
857	1923	318
858	1932	317
859	1936	315
860	1937	312
861	1939	310
862	1941	308
863	1943	305
864	1945	303
865	1947	301
866	1947	298
867	1948	296
868	1949	293
869	1951	291
870	1958	290
871	1960	287
872	1962	285
873	1963	283
874	1966	280
875	1967	278
876	1971	276
877	1972	274
878	1976	272
879	1978	269
880	1979	267
881	1980	265
882	1981	262
883	1983	260
884	1987	258
885	1993	256
886	1995	254
887	1996	251
888	1997	249
889	1998	247
890	2006	245
891	2007	243
892	2008	240
893	2010	238
894	2011	235
895	2012	233
896	2013	231
897	2020	229
898	2022	227
899	2023	224
900	2024	222
901	2025	220
902	2026	217
903	2027	215
904	2030	213
905	2031	210
906	2033	208
907	2034	206
908	2035	203
909	2036	201
910	2039	199
911	2040	196
912	2041	194
913	2042	192
914	2043	189
915	2044	187
916	2045	185
917	2046	182
918	2047	180
919	2047	178
920	2048	175
921	2049	173
922	2050	171
923	2057	169
924	2058	166
925	2060	164
926	2061	162
927	2062	159
928	2063	157
929	2064	155
930	2065	153
931	2066	150
932	2073	148
933	2074	146
934	2076	144
935	2077	142
936	2078	139
937	2079	137
938	2080	135
939	2088	133
940	2090	131
941	2091	128
942	2092	126
943	2094	124
944	2095	121
945	2097	119
946	2103	117
947	2105	115
948	2106	113
949	2107	110
950	2108	108
951	2109	106
952	2112	104
953	2119	102
954	2121	99
955	2122	97
956	2123	95
957	2124	93
958	2126	90
959	2127	88
960	2131	86
961	2134	84
962	2136	82
963	2137	79
964	2138	77
965	2140	75
966	2141	73
967	2142	70
968	2145	68
969	2149	66
970	2151	64
971	2152	62
972	2154	59
973	2155	57
974	2156	55
975	2157	53
976	2158	50
977	2164	48
978	2165	46
979	2166	44
980	2168	42
981	2169	39
982	2170	37
983	2172	35
984	2172	33
985	2176	30
986	2181	28
987	2183	26
988	2184	24
989	2186	22
990	2187	19
991	2188	17
992	2191	15
993	2195	13
994	2197	11
995	2198	8
996	2199	6
997	2200	4
998	2201	2
999	2202	0
