iter	Passed	Remaining
463	735	849
464	736	847
465	737	844
466	738	842
467	738	839
468	739	837
469	741	835
470	742	833
471	743	832
472	745	830
473	746	827
474	746	825
475	747	823
476	748	820
477	749	818
478	750	816
479	751	813
480	752	811
481	752	809
482	753	806
483	754	804
484	755	802
485	756	800
486	757	797
487	758	795
488	759	793
489	759	790
490	760	788
491	761	786
492	762	784
493	763	781
494	764	779
495	765	777
496	765	775
497	766	772
498	767	770
499	768	768
500	769	766
501	770	763
502	770	761
503	771	759
504	772	757
505	773	755
506	774	753
507	775	750
508	776	748
509	777	746
510	777	744
511	778	742
512	779	740
513	780	738
514	781	735
515	782	733
516	783	731
517	784	729
518	784	727
519	785	725
520	786	723
521	787	721
522	788	719
523	789	717
524	790	715
525	791	712
526	792	710
527	792	708
528	793	706
529	794	704
530	795	702
531	796	700
532	797	698
533	798	696
534	798	694
535	799	692
536	800	690
537	801	688
538	802	686
539	803	684
540	804	682
541	804	680
542	805	678
543	806	676
544	807	674
545	808	672
546	809	670
547	810	668
548	810	666
549	811	664
550	812	662
551	813	660
552	814	658
553	815	656
554	816	654
555	817	652
556	818	650
557	818	648
558	819	646
559	820	644
560	821	642
561	822	640
562	823	639
563	824	637
564	825	635
565	825	633
566	826	631
567	827	629
568	828	627
569	829	625
570	830	623
571	831	621
572	832	620
573	832	618
574	833	616
575	834	614
576	835	612
577	836	610
578	837	608
579	838	606
580	838	604
581	839	603
582	840	601
583	841	599
584	842	597
585	843	595
586	844	593
587	844	591
588	845	590
589	846	588
590	847	586
591	848	584
592	849	582
593	850	581
594	851	579
595	851	577
596	852	575
597	853	573
598	854	572
599	855	570
600	856	568
601	857	566
602	857	564
603	858	563
604	859	561
605	860	559
606	861	557
607	862	555
608	863	554
609	864	552
610	865	551
611	866	549
612	867	547
613	867	545
614	868	543
615	869	542
616	870	540
617	871	538
618	872	536
619	873	535
620	874	533
621	874	531
622	875	530
623	876	528
624	877	526
625	878	524
626	879	523
627	880	521
628	880	519
629	881	517
630	882	516
631	883	514
632	884	512
633	885	511
634	886	509
635	886	507
636	887	506
637	888	504
638	889	502
639	890	501
640	891	499
641	892	497
642	893	496
643	894	494
644	895	493
645	896	491
646	897	489
647	898	488
648	899	486
649	900	484
650	900	482
651	901	481
652	902	479
653	903	477
654	904	476
655	905	474
656	906	473
657	906	471
658	907	469
659	908	468
660	909	466
661	910	464
662	911	463
663	912	461
664	913	460
665	914	458
666	914	456
667	915	455
668	916	453
669	917	451
670	918	450
671	919	448
672	920	447
673	921	445
674	922	444
675	923	442
676	924	441
677	925	439
678	926	437
679	927	436
680	928	434
681	928	433
682	929	431
683	930	429
684	931	428
685	932	426
686	933	425
687	933	423
688	934	422
689	935	420
690	936	418
691	937	417
692	938	415
693	939	414
694	940	412
695	940	411
696	941	409
697	942	407
698	943	406
699	944	404
700	945	403
701	946	401
702	947	400
703	948	398
704	949	397
705	949	395
706	950	394
707	951	392
708	952	390
709	953	389
710	954	387
711	955	386
712	955	384
713	956	383
714	957	381
715	958	380
716	959	378
717	960	377
718	961	375
719	962	374
720	963	372
721	965	371
722	966	370
723	967	368
724	968	367
725	969	365
726	970	364
727	971	362
728	972	361
729	973	359
730	973	358
731	974	356
732	975	355
733	976	353
734	977	352
735	978	350
736	979	349
737	980	348
738	981	346
739	982	345
740	982	343
741	983	342
742	984	340
743	985	339
744	986	337
745	987	336
746	988	334
747	989	333
748	989	331
749	990	330
750	991	328
751	992	327
752	993	325
753	994	324
754	995	322
755	996	321
756	997	320
757	999	318
758	999	317
759	1000	316
760	1001	314
761	1003	313
762	1004	311
763	1004	310
764	1006	309
765	1007	307
766	1009	306
767	1010	305
768	1011	303
769	1013	302
770	1014	301
771	1016	300
772	1017	298
773	1018	297
774	1019	295
775	1020	294
776	1021	293
777	1022	291
778	1023	290
779	1024	289
780	1026	287
781	1027	286
782	1028	285
783	1029	283
784	1030	282
785	1031	280
786	1032	279
787	1032	277
788	1033	276
789	1034	275
790	1035	273
791	1036	272
792	1037	270
793	1039	269
794	1040	268
795	1041	266
796	1042	265
797	1043	264
798	1044	262
799	1045	261
800	1046	259
801	1047	258
802	1048	257
803	1048	255
804	1049	254
805	1050	252
806	1051	251
807	1052	250
808	1054	248
809	1055	247
810	1057	246
811	1058	245
812	1059	243
813	1060	242
814	1061	241
815	1062	239
816	1063	238
817	1064	236
818	1064	235
819	1065	233
820	1066	232
821	1068	231
822	1069	230
823	1071	228
824	1072	227
825	1073	226
826	1074	224
827	1075	223
828	1076	221
829	1077	220
830	1078	219
831	1078	217
832	1079	216
833	1080	215
834	1081	213
835	1083	212
836	1084	211
837	1086	209
838	1087	208
839	1087	207
840	1088	205
841	1089	204
842	1090	203
843	1091	201
844	1092	200
845	1093	199
846	1094	197
847	1094	196
848	1095	194
849	1096	193
850	1099	192
851	1102	191
852	1103	190
853	1104	188
854	1105	187
855	1106	186
856	1107	184
857	1108	183
858	1109	182
859	1110	180
860	1110	179
861	1112	178
862	1114	176
863	1115	175
864	1116	174
865	1117	172
866	1118	171
867	1119	170
868	1120	168
869	1120	167
870	1121	166
871	1122	164
872	1123	163
873	1124	162
874	1125	160
875	1126	159
876	1127	158
877	1128	156
878	1129	155
879	1130	154
880	1130	152
881	1131	151
882	1132	150
883	1133	148
884	1135	147
885	1137	146
886	1139	145
887	1140	143
888	1141	142
889	1142	141
890	1143	139
891	1144	138
892	1145	137
893	1146	135
894	1147	134
895	1149	133
896	1150	132
897	1152	130
898	1154	129
899	1155	128
900	1156	127
901	1157	125
902	1159	124
903	1160	123
904	1160	121
905	1161	120
906	1162	119
907	1163	117
908	1164	116
909	1165	115
910	1167	114
911	1168	112
912	1169	111
913	1170	110
914	1171	108
915	1172	107
916	1173	106
917	1174	104
918	1175	103
919	1175	102
920	1176	100
921	1177	99
922	1178	98
923	1179	97
924	1181	95
925	1182	94
926	1183	93
927	1184	91
928	1185	90
929	1186	89
930	1187	88
931	1188	86
932	1189	85
933	1190	84
934	1190	82
935	1191	81
936	1192	80
937	1193	78
938	1194	77
939	1196	76
940	1197	75
941	1198	73
942	1199	72
943	1200	71
944	1201	69
945	1202	68
946	1202	67
947	1203	66
948	1204	64
949	1205	63
950	1206	62
951	1207	60
952	1207	59
953	1209	58
954	1210	57
955	1212	55
956	1213	54
957	1214	53
958	1215	51
959	1215	50
960	1216	49
961	1217	48
962	1218	46
963	1219	45
964	1220	44
965	1221	42
966	1222	41
967	1222	40
968	1224	39
969	1226	37
970	1227	36
971	1228	35
972	1230	34
973	1230	32
974	1231	31
975	1232	30
976	1233	29
977	1234	27
978	1235	26
979	1236	25
980	1236	23
981	1237	22
982	1239	21
983	1241	20
984	1242	18
985	1243	17
986	1244	16
987	1245	15
988	1245	13
989	1246	12
990	1247	11
991	1248	10
992	1249	8
993	1250	7
994	1251	6
995	1252	5
996	1253	3
997	1255	2
998	1256	1
999	1257	0
